partno,name,typeof,width,height,depth,weight,level,loadbear,updown,color
BoxType1_#1,BoxType1,cube,279,185,329,406,2,100,True,blue
BoxType1_#2,BoxType1,cube,448,276,128,352,3,100,False,white
BoxType1_#3,BoxType1,cube,457,115,192,253,1,100,True,black
BoxType1_#4,BoxType1,cube,307,393,453,363,1,100,False,white
BoxType1_#5,BoxType1,cube,216,389,220,293,2,100,True,blue
BoxType1_#6,BoxType1,cube,367,180,439,179,2,100,True,blue
BoxType1_#7,BoxType1,cube,227,467,263,179,1,100,False,blue
BoxType1_#8,BoxType1,cube,273,274,443,161,2,100,True,white
BoxType1_#9,BoxType1,cube,126,438,217,272,3,100,True,green
BoxType1_#10,BoxType1,cube,497,419,203,305,1,100,True,green
BoxType1_#11,BoxType1,cube,444,117,150,356,2,100,False,red
BoxType1_#12,BoxType1,cube,206,487,101,471,2,100,False,blue
BoxType1_#13,BoxType1,cube,222,409,286,256,3,100,False,white
BoxType1_#14,BoxType1,cube,335,496,399,395,3,100,True,blue
BoxType1_#15,BoxType1,cube,204,452,172,254,3,100,True,white
BoxType1_#16,BoxType1,cube,254,356,409,474,1,100,False,blue
BoxType1_#17,BoxType1,cube,206,235,214,295,2,100,False,white
BoxType1_#18,BoxType1,cube,168,357,398,184,2,100,False,white
BoxType1_#19,BoxType1,cube,227,251,471,394,2,100,False,black
BoxType1_#20,BoxType1,cube,184,132,343,474,2,100,False,green
BoxType1_#21,BoxType1,cube,475,325,352,113,3,100,True,blue
BoxType1_#22,BoxType1,cube,474,405,488,184,2,100,False,white
BoxType1_#23,BoxType1,cube,215,500,128,497,2,100,False,blue
BoxType1_#24,BoxType1,cube,131,155,491,246,3,100,True,black
BoxType1_#25,BoxType1,cube,472,262,237,282,3,100,True,black
BoxType1_#26,BoxType1,cube,333,316,417,339,2,100,True,blue
BoxType1_#27,BoxType1,cube,124,447,300,260,2,100,True,black
BoxType1_#28,BoxType1,cube,424,343,426,477,1,100,True,blue
BoxType1_#29,BoxType1,cube,459,379,484,137,3,100,True,green
BoxType1_#30,BoxType1,cube,302,171,309,321,1,100,True,white
BoxType1_#31,BoxType1,cube,463,331,409,197,1,100,True,blue
BoxType1_#32,BoxType1,cube,407,446,296,464,2,100,False,blue
BoxType1_#33,BoxType1,cube,183,129,474,212,2,100,True,red
BoxType1_#34,BoxType1,cube,172,356,332,150,3,100,True,green
BoxType1_#35,BoxType1,cube,135,412,389,245,2,100,False,black
BoxType1_#36,BoxType1,cube,481,460,316,101,2,100,True,white
BoxType1_#37,BoxType1,cube,450,415,316,408,2,100,True,red
BoxType1_#38,BoxType1,cube,147,375,135,433,1,100,False,red
BoxType1_#39,BoxType1,cube,458,316,267,404,3,100,False,green
BoxType1_#40,BoxType1,cube,298,110,325,193,2,100,True,green
BoxType1_#41,BoxType1,cube,228,219,452,266,2,100,True,white
BoxType1_#42,BoxType1,cube,461,488,253,240,2,100,True,red
BoxType1_#43,BoxType1,cube,200,185,467,213,3,100,False,white
BoxType1_#44,BoxType1,cube,499,303,423,262,1,100,False,black
BoxType1_#45,BoxType1,cube,376,325,460,404,2,100,True,green
BoxType1_#46,BoxType1,cube,108,205,196,380,2,100,False,green
BoxType1_#47,BoxType1,cube,476,259,272,215,2,100,True,white
BoxType1_#48,BoxType1,cube,442,224,259,431,1,100,True,red
BoxType1_#49,BoxType1,cube,155,485,366,163,1,100,False,black
BoxType1_#50,BoxType1,cube,148,311,344,440,1,100,True,black
BoxType1_#51,BoxType1,cube,113,138,114,262,1,100,False,white
BoxType1_#52,BoxType1,cube,390,216,488,283,2,100,True,blue
BoxType1_#53,BoxType1,cube,192,345,184,206,2,100,True,black
BoxType1_#54,BoxType1,cube,398,105,421,176,3,100,False,blue
BoxType1_#55,BoxType1,cube,340,347,196,186,3,100,False,black
BoxType1_#56,BoxType1,cube,491,470,229,365,3,100,False,black
BoxType1_#57,BoxType1,cube,179,113,293,377,1,100,True,black
BoxType1_#58,BoxType1,cube,182,201,226,439,1,100,False,black
BoxType1_#59,BoxType1,cube,231,355,220,477,1,100,True,white
BoxType1_#60,BoxType1,cube,106,447,425,453,1,100,False,black
BoxType1_#61,BoxType1,cube,399,190,257,275,1,100,True,black
BoxType1_#62,BoxType1,cube,125,490,325,498,2,100,True,white
BoxType1_#63,BoxType1,cube,346,106,138,443,1,100,True,green
BoxType1_#64,BoxType1,cube,212,360,268,357,3,100,True,green
BoxType1_#65,BoxType1,cube,439,471,350,108,1,100,True,black
BoxType1_#66,BoxType1,cube,282,463,166,323,2,100,True,black
BoxType1_#67,BoxType1,cube,130,198,416,347,2,100,False,blue
BoxType1_#68,BoxType1,cube,406,161,278,496,3,100,False,white
BoxType1_#69,BoxType1,cube,116,405,403,212,3,100,False,green
BoxType1_#70,BoxType1,cube,241,107,469,431,1,100,False,blue
BoxType1_#71,BoxType1,cube,312,315,347,100,2,100,False,green
BoxType1_#72,BoxType1,cube,165,316,356,352,3,100,False,black
BoxType1_#73,BoxType1,cube,291,145,205,105,3,100,True,green
BoxType1_#74,BoxType1,cube,250,317,330,407,1,100,True,red
BoxType1_#75,BoxType1,cube,306,311,170,462,2,100,True,white
BoxType1_#76,BoxType1,cube,411,470,174,352,3,100,True,white
BoxType1_#77,BoxType1,cube,373,180,402,432,2,100,True,green
BoxType1_#78,BoxType1,cube,236,427,485,279,1,100,False,green
BoxType1_#79,BoxType1,cube,205,164,369,196,1,100,False,black
BoxType1_#80,BoxType1,cube,469,297,162,272,3,100,True,blue
BoxType1_#81,BoxType1,cube,101,354,163,274,2,100,False,green
BoxType1_#82,BoxType1,cube,164,435,316,237,1,100,True,blue
BoxType1_#83,BoxType1,cube,188,125,476,179,1,100,False,blue
BoxType1_#84,BoxType1,cube,222,310,287,211,2,100,False,white
BoxType1_#85,BoxType1,cube,440,152,370,114,3,100,True,blue
BoxType1_#86,BoxType1,cube,219,426,221,402,1,100,True,red
BoxType1_#87,BoxType1,cube,126,281,413,143,2,100,False,blue
